"Consolidated Statements of Operations - USD ($) shares in Millions, $ in Millions",3 Months Ended,Unnamed: 2,9 Months Ended,Unnamed: 4
,"Sep. 30, 2017","Sep. 30, 2016","Sep. 30, 2017","Sep. 30, 2016"
Income Statement [Abstract],,,,
Net product sales,28768,22339,77248,64036
Net service sales,14976,10375,40165,28210
Total net sales,43744,32714,117413,92246
Operating expenses:,,,,
Cost of sales,27549,21260,73439,59306
Fulfillment,6420,4335,16275,11900
Marketing,2479,1738,6629,4720
Technology and content,5944,4135,16306,11541
General and administrative,960,639,2630,1715
"Other operating expense, net",45,32,155,133
Total operating expenses,43397,32139,115434,89315
Operating income,347,575,1979,2931
Interest income,54,26,137,71
Interest expense,-228,-118,-510,-351
"Other income (expense), net",143,8,329,75
Total non-operating income (expense),-31,-84,-44,-205
Income before income taxes,316,491,1935,2726
Provision for income taxes,-58,-229,-755,-1012
"Equity-method investment activity, net of tax",-2,-10,-4,-92
Net income,256,252,1176,1622
Basic earnings per share (in usd per share),0.53,0.53,2.46,3.43
Diluted earnings per share (in usd per share),0.52,0.52,2.39,3.36
Weighted-average shares used in computation of earnings per share:,,,,
Basic (in shares),481,474,479,473
Diluted (in shares),494,485,492,483
