"Consolidated Statements of Operations - USD ($) shares in Millions, $ in Millions",3 Months Ended,Unnamed: 2,9 Months Ended,Unnamed: 4
,"Sep. 30, 2020","Sep. 30, 2019","Sep. 30, 2020","Sep. 30, 2019"
Total net sales,96145,69981,260509,193086
Operating expenses:,,,,
Cost of sales,57106,41302,154023,111559
Fulfillment,14705,10167,40043,28040
Technology and content,10976,9200,30691,26191
Marketing,5434,4752,14605,12707
General and administrative,1668,1348,4700,3791
"Other operating expense (income), net",62,55,421,136
Total operating expenses,89951,66824,244483,182424
Operating income,6194,3157,16026,10662
Interest income,118,224,455,621
Interest expense,-428,-396,-1233,-1145
"Other income (expense), net",925,-353,1165,-215
Total non-operating income (expense),615,-525,387,-739
Income before income taxes,6809,2632,16413,9923
Provision for income taxes,-569,-494,-2298,-1588
"Equity-method investment activity, net of tax",91,-4,-6,-15
Net income,6331,2134,14109,8320
Basic earnings per share (in usd per share),12.63,4.31,28.24,16.87
Diluted earnings per share (in usd per share),12.37,4.23,27.72,16.53
Weighted-average shares used in computation of earnings per share:,,,,
Basic (in shares),501,495,500,493
Diluted (in shares),512,504,509,503
Product,,,,
Total net sales,52774,39726,144859,109866
Service,,,,
Total net sales,43371,30255,115650,83220
